Title,PMID,Distance Score,PubMed Link
Non-Pharmacological Therapeutic Options for the Treatment of Alzheimer's Disease.,36232336,1.1812,https://pubmed.ncbi.nlm.nih.gov/36232336
"Novel findings from determination of common expressed plasma exosomal microRNAs in patients with psoriatic arthritis, psoriasis vulgaris, rheumatoid arthritis, and gouty arthritis.",31926583,1.1864,https://pubmed.ncbi.nlm.nih.gov/31926583
Medication reconciliation role and value in Alzheimer's disease treatment.,35239819,1.1941,https://pubmed.ncbi.nlm.nih.gov/35239819
Molecular and Therapeutic Targets for Amyloid-beta Plaques in Alzheimer's Disease: A Review Study.,39291090,1.2114,https://pubmed.ncbi.nlm.nih.gov/39291090
Molecular and Therapeutic Targets for Amyloid-beta Plaques in Alzheimer's Disease: A Review Study.,39291090,1.2114,https://pubmed.ncbi.nlm.nih.gov/39291090
The Impact of IL-17A Inhibition in Rheumatic and Musculoskeletal Diseases: Current Insights and Future Prospects.,40205297,1.2392,https://pubmed.ncbi.nlm.nih.gov/40205297
Key Characteristics and Development of Psychoceuticals: A Review.,36555419,1.2416,https://pubmed.ncbi.nlm.nih.gov/36555419
Tizanidine: Advances in Pharmacology & Therapeutics and Drug Formulations.,38529017,1.2467,https://pubmed.ncbi.nlm.nih.gov/38529017
Tizanidine: Advances in Pharmacology & Therapeutics and Drug Formulations.,38529017,1.2467,https://pubmed.ncbi.nlm.nih.gov/38529017
Neuroproteomics Chip-Based Mass Spectrometry and Other Techniques for Alzheimer's Disease Biomarkers - Update.,35422204,1.2505,https://pubmed.ncbi.nlm.nih.gov/35422204
Therapeutic Potential of Different Natural Products for the Treatment of Alzheimer's Disease.,35910833,1.26,https://pubmed.ncbi.nlm.nih.gov/35910833
Wnt signaling in synaptogenesis of Alzheimer's disease.,37786762,1.2607,https://pubmed.ncbi.nlm.nih.gov/37786762
Wnt signaling in synaptogenesis of Alzheimer's disease.,37786762,1.2607,https://pubmed.ncbi.nlm.nih.gov/37786762
"[Mechanism of action and clinical trial results of Lecanemab (Leqembi<sup>®</sup> 200 ‍mg, 500 ‍mg for Intravenous Infusion), a novel treatment for Alzheimer's disease].",38692883,1.2619,https://pubmed.ncbi.nlm.nih.gov/38692883
"[Mechanism of action and clinical trial results of Lecanemab (Leqembi<sup>®</sup> 200 ‍mg, 500 ‍mg for Intravenous Infusion), a novel treatment for Alzheimer's disease].",38692883,1.2619,https://pubmed.ncbi.nlm.nih.gov/38692883
"<i>HLA-Cw6</i> and other HLA-C alleles, as well as <i>MICB-DT, DDX58,</i> and <i>TYK2</i> genetic variants associate with optimal response to anti-IL-17A treatment in patients with psoriasis.",33297781,1.2655,https://pubmed.ncbi.nlm.nih.gov/33297781
"Advancements in artificial intelligence for atopic dermatitis: diagnosis, treatment, and patient management.",40200717,1.2696,https://pubmed.ncbi.nlm.nih.gov/40200717
"Advancements in artificial intelligence for atopic dermatitis: diagnosis, treatment, and patient management.",40200717,1.2696,https://pubmed.ncbi.nlm.nih.gov/40200717
Autophagy and Herpesvirus: A collaboration Contributing to Alzheimer's Disease.,35723876,1.2731,https://pubmed.ncbi.nlm.nih.gov/35723876
Coupling of Alzheimer's Disease Genetic Risk Factors with Viral Susceptibility and Inflammation.,37962454,1.2743,https://pubmed.ncbi.nlm.nih.gov/37962454
